group_id,program_code,req_category,item_type,course_code,min_credits,max_credits,department_id,min_cgpa,notes
22,SCMAJ1150C,ENROLMENT,COURSE,MATA02H3,,,,,"Students apply to the Major (Co-operative) Program in Conservation and Biodiversity after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative grade point average (CGPA) of at least 2.5 or higher is required for admission."
23,SCMAJ0361C,ENROLMENT,COURSE,CHMA10H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
24,SCMAJ0361C,ENROLMENT,COURSE,CHMA11H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
25,SCMAJ0361C,ENROLMENT,COURSE,CHMA12H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
26,SCMAJ0361C,ENROLMENT,COURSE,MATA30H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
27,SCMAJ0361C,ENROLMENT,COURSE,MATA36H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
28,SCMAJ0361C,ENROLMENT,COURSE,EESA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
29,SCMAJ0361C,ENROLMENT,COURSE,EESA06H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
30,SCMAJ0361C,ENROLMENT,COURSE,EESA07H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
31,SCMAJ0361C,ENROLMENT,COURSE,EESA11H3,,,,,"The minimum qualifications for entry are 4.0 credits, including: CHMA10H3, [CHMA11H3 or CHMA12H3], MATA30H3, MATA36H3, EESA01H3, and 0.5 credit from: [EESA06H3, EESA07H3, EESA11H3], plus a cumulative GPA of at least 2.50."
32,SCMAJ1076A,ENROLMENT,COURSE,BIOA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, and EESA06H3, plus a cumulative GPA of at least 2.50."
33,SCMAJ1076A,ENROLMENT,COURSE,BIOA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, and EESA06H3, plus a cumulative GPA of at least 2.50."
34,SCMAJ1076A,ENROLMENT,COURSE,EESA06H3,,,,,"The minimum qualifications for entry are 4.0 credits, including BIOA01H3, BIOA02H3, and EESA06H3, plus a cumulative GPA of at least 2.50."
35,SCMAJ1780M,ENROLMENT,MIN_CGPA,,,,,2.5,"The minimum qualifications for entry are 4.0 credits, including ANTA01H3 and ANTA02H3, with a minimum cumulative GPA of 2.5 or higher."
36,SCMAJ1780M,ENROLMENT,COURSE,ANTA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including ANTA01H3 and ANTA02H3, with a minimum cumulative GPA of 2.5 or higher."
37,SCMAJ1780M,ENROLMENT,COURSE,ANTA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including ANTA01H3 and ANTA02H3, with a minimum cumulative GPA of 2.5 or higher."
38,SCMAJ2156C,ENROLMENT,COURSE,FREA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including FREA01H3 and FREA02H3, plus a cumulative GPA of at least 2.5."
39,SCMAJ2156C,ENROLMENT,COURSE,FREA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including FREA01H3 and FREA02H3, plus a cumulative GPA of at least 2.5."
40,SCMAJ2086J,ENROLMENT,COURSE,HLTA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including HLTA02H3 and HLTA03H3, plus a cumulative GPA of at least 2.5."
41,SCMAJ2086J,ENROLMENT,COURSE,HLTA03H3,,,,,"The minimum qualifications for entry are 4.0 credits, including HLTA02H3 and HLTA03H3, plus a cumulative GPA of at least 2.5."
42,SCMAJ0652C,ENROLMENT,COURSE,HISA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
43,SCMAJ0652C,ENROLMENT,COURSE,HISA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
44,SCMAJ0652C,ENROLMENT,COURSE,HISA03H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
45,SCMAJ0652C,ENROLMENT,COURSE,HISA04H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
46,SCMAJ0652C,ENROLMENT,COURSE,HISA05H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
47,SCMAJ0652C,ENROLMENT,COURSE,HISA06H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
48,SCMAJ0652C,ENROLMENT,COURSE,GASA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
49,SCMAJ0652C,ENROLMENT,COURSE,HISA07H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
50,SCMAJ0652C,ENROLMENT,COURSE,CLAA04H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
51,SCMAJ0652C,ENROLMENT,COURSE,HISA08H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
52,SCMAJ0652C,ENROLMENT,COURSE,HISA09H3,,,,,"The minimum qualifications for entry are 4.0 credits, including 0.5 credit from: HISA01H3, HISA02H3, HISA03H3, HISA04H3, HISA05H3, HISA06H3/​GASA01H3, HISA07H3/​CLAA04H3, (HISA08H3), or HISA09H3, plus a cumulative GPA of at least 2.50."
53,SCMAJ0215C,ENROLMENT,MIN_CGPA,,,,,2.5,"Students apply to the Major (Co-op) in Human Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
54,SCMAJ0215C,ENROLMENT,COURSE,BIOA11H3,,,,,"Students apply to the Major (Co-op) in Human Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
55,SCMAJ0215C,ENROLMENT,COURSE,BIOA12H3,,,,,"Students apply to the Major (Co-op) in Human Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
56,SCMAJ0215C,ENROLMENT,COURSE,MATA02H3,,,,,"Students apply to the Major (Co-op) in Human Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
57,SCMAJ0506C,ENROLMENT,COURSE,LINA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including LINA01H3 and LINA02H3, plus a cumulative GPA of at least 2.5."
58,SCMAJ0506C,ENROLMENT,COURSE,LINA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, including LINA01H3 and LINA02H3, plus a cumulative GPA of at least 2.5."
59,SCMAJ0220C,ENROLMENT,MIN_CGPA,,,,,2.5,"Students apply to the Major (Co-op) in Molecular Biology, Immunology and Disease after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
60,SCMAJ0220C,ENROLMENT,COURSE,BIOA11H3,,,,,"Students apply to the Major (Co-op) in Molecular Biology, Immunology and Disease after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
61,SCMAJ0220C,ENROLMENT,COURSE,BIOA12H3,,,,,"Students apply to the Major (Co-op) in Molecular Biology, Immunology and Disease after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
62,SCMAJ0220C,ENROLMENT,COURSE,MATA02H3,,,,,"Students apply to the Major (Co-op) in Molecular Biology, Immunology and Disease after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
63,SCMAJ1060C,ENROLMENT,MIN_CGPA,,,,,2.5,"Students apply to the Major (Co-op) Program in Plant Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
64,SCMAJ1060C,ENROLMENT,COURSE,BIOA11H3,,,,,"Students apply to the Major (Co-op) Program in Plant Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
65,SCMAJ1060C,ENROLMENT,COURSE,BIOA12H3,,,,,"Students apply to the Major (Co-op) Program in Plant Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
66,SCMAJ1060C,ENROLMENT,COURSE,MATA02H3,,,,,"Students apply to the Major (Co-op) Program in Plant Biology after completing a minimum of 4.0 credits, including 1.0 credit in Biology (excluding BIOA11H3, BIOA12H3), 1.0 credit in Chemistry, and 0.5 credit in Mathematics (excluding MATA02H3) or Statistics. A minimum cumulative GPA of 2.5 or higher is required for admission."
67,SCMAJ2086K,ENROLMENT,COURSE,BIOA01H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
68,SCMAJ2086K,ENROLMENT,COURSE,BIOA11H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
69,SCMAJ2086K,ENROLMENT,COURSE,HLTA02H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
70,SCMAJ2086K,ENROLMENT,COURSE,HLTA03H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
71,SCMAJ2086K,ENROLMENT,COURSE,HLTA20H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
72,SCMAJ2086K,ENROLMENT,COURSE,STAB23H3,,,,,"A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
73,SCMAJ2086K,ENROLMENT,COURSE,BIOA01H3,,,,,"B. either (1) a final grade of 67% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, or (2) a final grade of 60% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, and a final grade of 72% or higher in HLTB22H3"
74,SCMAJ2086K,ENROLMENT,COURSE,BIOA11H3,,,,,"B. either (1) a final grade of 67% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, or (2) a final grade of 60% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, and a final grade of 72% or higher in HLTB22H3"
75,SCMAJ2086K,ENROLMENT,COURSE,HLTA20H3,,,,,"B. either (1) a final grade of 67% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, or (2) a final grade of 60% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, and a final grade of 72% or higher in HLTB22H3"
76,SCMAJ2086K,ENROLMENT,COURSE,HLTB22H3,,,,,"B. either (1) a final grade of 67% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, or (2) a final grade of 60% or higher in both [BIOA01H3 or BIOA11H3] and HLTA20H3, and a final grade of 72% or higher in HLTB22H3"
77,SCMAJ1160C,ENROLMENT,COURSE,BIOA12H3,,,,,"(b.) completion of Grade 12 U/M high school biology or equivalent (or BIOA12H3 or equivalent), and"
78,SCMAJ1160C,ENROLMENT,COURSE,PSYA01H3,,,,,"(e.) either (1) a final grade of 67% or higher in both PSYA01H3 and PSYA02H3, or (2) a final grade of 60% or higher in both PSYA01H3 and PSYA02H3 and a final grade of 72% or higher in two B-level psychology courses."
79,SCMAJ1160C,ENROLMENT,COURSE,PSYA02H3,,,,,"(e.) either (1) a final grade of 67% or higher in both PSYA01H3 and PSYA02H3, or (2) a final grade of 60% or higher in both PSYA01H3 and PSYA02H3 and a final grade of 72% or higher in two B-level psychology courses."
80,SCMAJPUBPC,ENROLMENT,MIN_CREDITS_TOTAL,,7.0,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
81,SCMAJPUBPC,ENROLMENT,COURSE,MGEA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
82,SCMAJPUBPC,ENROLMENT,COURSE,MGEA02H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
83,SCMAJPUBPC,ENROLMENT,COURSE,MGEA05H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
84,SCMAJPUBPC,ENROLMENT,COURSE,MGEA06H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
85,SCMAJPUBPC,ENROLMENT,COURSE,POLB56H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
86,SCMAJPUBPC,ENROLMENT,COURSE,PPGB66H3,,,,,"The minimum qualifications for entry are 4.0 credits, plus a cumulative GPA of at least 2.5. To be eligible for their first work term, students must be enrolled in the Major (Co-op) Program in Public Policy and have completed at least 7.0 credits. It is strongly recommended that students include MGEA01H3/​MGEA02H3, MGEA05H3/​MGEA06H3, POLB56H3, PPGB66H3, and 0.5 credit of Statistics (requirement 5) or Methods (requirement 6) as part of meeting the minimum 7.0 FCEs."
87,SCMAJ0571H,ENROLMENT,COURSE,WSTA01H3,,,,,"The minimum qualifications for entry are 4.0 credits, including one of WSTA01H3 or WSTA03H3, plus a cumulative GPA of at least 2.50."
88,SCMAJ0571H,ENROLMENT,COURSE,WSTA03H3,,,,,"The minimum qualifications for entry are 4.0 credits, including one of WSTA01H3 or WSTA03H3, plus a cumulative GPA of at least 2.50."
89,SCMAJNME,ENROLMENT,MIN_CGPA,,,,,2.0,"Enrolment in the program is limited and admission is by competitive application. Please refer to the UTSC Registrar’s Office for enrolment timelines. Students must have completed MDSA10H3 and MDSA13H3 and have a minimum cumulative GPA of 2.0 to apply. Students must request admission to the program through ACORN and submit a Supplementary Application Form to the Department that includes an unofficial copy of their academic record, a personal statement of interest, and links (if any) to work published online. Students are strongly advised to meet with the Program Manager during their first year, and before preparing an application for admission. Students may be required to attend an interview with the Program Manager before an admission decision is made. All applicants will be notified through ACORN in early June."
90,SCMAJNME,ENROLMENT,COURSE,MDSA10H3,,,,,"Enrolment in the program is limited and admission is by competitive application. Please refer to the UTSC Registrar’s Office for enrolment timelines. Students must have completed MDSA10H3 and MDSA13H3 and have a minimum cumulative GPA of 2.0 to apply. Students must request admission to the program through ACORN and submit a Supplementary Application Form to the Department that includes an unofficial copy of their academic record, a personal statement of interest, and links (if any) to work published online. Students are strongly advised to meet with the Program Manager during their first year, and before preparing an application for admission. Students may be required to attend an interview with the Program Manager before an admission decision is made. All applicants will be notified through ACORN in early June."
