program_code,program_name,department_id,program_type,is_coop,is_limited_enrolment,total_credits,min_enrolment_cgpa,description
SCCER1090,CERTIFICATE IN MARKETING WITHIN MANAGEMENT AND INTERNATIONAL BUSINESS,11,Certificate,0,0,,,"The Certificate in Marketing Within Management and International Business will recognize that students in the MIB program have taken extra courses in marketing and will record that extra concentration on their transcripts. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
SCCER1110,CERTIFICATE IN PATHWAYS TO HEALTH PROFESSIONS,7,Certificate,0,0,,,Students will be admitted to the Certificate directly from high school. Students will select the Certificate in combination with specified science (HBSc) programs at the time of application to UTSC and will be enrolled directly into the Certificate in their first year of study after accepting their offer to UTSC and will need to be admitted to and maintain good standing in one of the programs below to remain in the certificate. Only students entering UTSC directly from high school in September 2024 and after are eligible for enrolment in this certificate. The Certificate must be taken in conjunction with a Major/Major (Co-op) or Specialist/Specialist (Co-op) in one of the following programs: Biochemistry
SCCER1100,CERTIFICATE IN STRATEGY WITHIN MANAGEMENT AND INTERNATIONAL BUSINESS,11,Certificate,0,0,,,"The Certificate in Strategy Within Management and International Business will recognize that students in the MIB program have taken extra courses in strategy and will record that extra concentration on their transcripts. Note: Courses for which students have selected the CR/NCR option, cannot be used towards the completion of this Certificate Enrolment Requirements"
SCCER1050,CERTIFICATE IN SUSTAINABILITY (UofT Sustainability Scholar),13,Certificate,0,0,,,"The sustainable utilization of our natural, social, economic and cultural resources is one of the most important cross-cutting themes within academia today. The Certificate in Sustainability builds on UTSC's longstanding academic strengths to provide an opportunity for a broad range of students to incorporate sustainability into their undergraduate studies. Certificate Requirements Students must complete a minimum of 2.0 credits as follows:"
HBSMEGN,"COMBINED DEGREE PROGRAMS, HONOURS BACHELOR OF SCIENCE / MASTER OF ENGINEERING",13,Combined,0,0,,,"The Combined Degree Programs for UTSC Honours Bachelor of Science (HBSc) and Master of Engineering (MEng) allow exceptional students who are registered in one of the Specialist/Specialist Co-op programs identified below to apply during Year 3 of their studies, and be considered, for admission to the Faculty of Engineering & Applied Chemistry MEng programs in either Chemical Engineering & Applied Chemistry or Civil Engineering. Contact Information: Mandy Meriano(416-208-2775)"
HBSMEES,"COMBINED DEGREE PROGRAMS, HONOURS BACHELOR OF SCIENCE / MASTER OF ENVIRONMENTAL SCIENCE",3,Combined,0,0,,,"The Combined Degree Programs for UTSC Honours Bachelor of Science (HBSc) with the Master of Environmental Science (MEnvSc) offered by the Graduate Department of Physical and Environmental Sciences allow exceptional students who are registered in one of the Specialist/Specialist Co-op programs identified below to apply during Year 3 of their studies, and be considered, for admission to the MEnvSc program. They are designed for students interested in pursuing a career in environmental sciences within the green-sector, geosciences, industry, consulting, government and policy organizations. These Combined Degree Programs give students the opportunity to: (1) begin exploring their academic interests in Year 4 of their studies; (2) complete 1.0 credit in courses that may be counted towards both degrees; and (3) enrol in the MEnvSc in the Summer session between Years 4 and 5 in order to complete either a two-month academic or internship opportunity, in addition to the mandatory four-month academic or internship opportunity completed in the MEnvSc program alone. Contact Information: Combined Degree Programs Coordinator"
HBSMSOW,"COMBINED DEGREE PROGRAMS, HONOURS BACHELOR OF SCIENCE / MASTER OF SOCIAL WORK",7,Combined,0,0,,,"The Combined Degree Programs for UTSC Honours Bachelor of Science (HBSc) with the Master of Social Work (MSW) offered by the Factor-Inwentash Faculty of Social Work allow exceptional students who are registered in the UTSC Specialist or Specialist Co-op programs in Mental Health Studies to apply during Year 3 of their studies, and be considered, for admission to the FIFSW Master's program in Social Work. These CDPs offer a rich intellectual pathway for exceptional undergraduate students by providing access to social work research before the completion of the undergraduate degree, and give students an opportunity to become equipped for evidence-informed social work practice, through a research course in Year 4 with a FIFSW co-supervisor. Contact Information: Department of Psychology"
HBAMCTE,"COMBINED DEGREE PROGRAMS, HONOURS BACHELOR OF SCIENCE OR HONOURS BACHELOR OF ARTS / MASTER OF TEACHING",1,Combined,0,0,,,"The Combined Degree Programs for UTSC Honours Bachelor of Science (HBSc)/Honours Bachelor of Arts (HBA) with the Master of Teaching (MT) offered by the Ontario Institute for Studies in Education are designed for students who are interested in a career in Education. They allow exceptional students who are registered in one of the 50 identified Specialist and Major programs to gain early admission to the MT, which is a full-time professional program that leads to both a Master's degree and eligibility to become a certified teacher in Ontario. Students who successfully complete one of the Combined Degree Programs listed below will earn two University of Toronto degrees (HBA/HBSc and MT) and be recommended to the Ontario College of Teachers for a Certificate of Qualifications as elementary or secondary school teachers. To learn more about the MT Combined Degree Programs at UTSC, visit the MT CDP website. Contact Information: Combined Degree Programs Coordinator"
DOBBAHBSC,"DOUBLE DEGREE: BBA, SPECIALIST (CO-OPERATIVE) PROGRAM IN MANAGEMENT AND FINANCE / HONOURS BSc, SPECIALIST (CO-OPERATIVE) PROGRAM IN STATISTICS, QUANTITATIVE FINANCE STREAM",11,Double,1,0,25,2.5,Assistant Director: P. Brown  Email: mgmtcoop.utsc@utoronto.ca Academic Directors: S. Ahmed Email: mgmtss.utsc@utoronto.ca (BBA)
DOBBAHBS,"DOUBLE DEGREE: BBA, SPECIALIST PROGRAM IN MANAGEMENT AND FINANCE / HONOURS BSc, SPECIALIST PROGRAM IN STATISTICS, QUANTITATIVE FINANCE STREAM",11,Double,0,0,25,2,Academic Directors: S. Ahmed Email: mgmtss.utsc@utoronto.ca (BBA) S. Damouras Email: sotirios.damouras@utoronto.ca (BSc)
DOHBAHBS,"DOUBLE DEGREE: HONOURS BA, SPECIALIST PROGRAM IN ENGLISH / HONOURS BSc, SPECIALIST PROGRAM IN PSYCHOLOGY",5,Double,0,0,25,,"This Double Degree program creates an accelerated pathway for students who would otherwise have to complete two separate Specialist programs and two separate degrees. It will provide students with a thorough, interdisciplinary education in both literary studies and Psychology. The Double Degree program takes advantage of existing synergies to allow students to complete both undergraduate programs and degrees within five years, without compromising on the core requirements of either program. Enrolment Requirements Enrolment in the Double Degree is limited."
SCMAJ1762C,MAJOR (CO-OPERATIVE) PROGRAM IN BIOCHEMISTRY (SCIENCE),13,Major,1,1,,2.5,"For an updated list of Program Supervisors, please visit the Chemistry website. Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Biochemistry is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Biochemistry upon graduation."
SCMAJ1030M,MAJOR (CO-OPERATIVE) PROGRAM IN BIOLOGY (SCIENCE),3,Major,1,1,,2.5,"Academic Program Supervisor Email: biology-major@utsc.utoronto.ca Co-op Program Coordinator Email: coopsuccess.utsc@utoronto.ca The Major (Co-op) in Biology program complements and punctuates academic course work with full-time work terms in various governmental or non-governmental agencies, in labs or in public or private industry. These work terms help students define and refine their career and/or professional school goals."
SCMAJ1376C,MAJOR (CO-OPERATIVE) PROGRAM IN CHEMISTRY (SCIENCE),13,Major,1,1,,2.5,"For an updated list of Program Supervisors, please visit the Chemistry website. Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Chemistry is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Chemistry upon graduation."
SCMAJCITC,MAJOR (CO-OPERATIVE) PROGRAM IN CITY STUDIES (ARTS),9,Major,1,1,,2.5,"Program Advisor: cit-advisor@utsc.utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in City Studies is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to City Studies upon graduation."
SCMAJ1688C,MAJOR (CO-OPERATIVE) PROGRAM IN COMPUTER SCIENCE (SCIENCE),4,Major,1,1,,2.75,"Academic Program Advisor: S. Calanza susan.calanza@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Computer Science is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Computer Science upon graduation."
SCMAJ1150C,MAJOR (CO-OPERATIVE) PROGRAM IN CONSERVATION AND BIODIVERSITY (SCIENCE),3,Major,1,1,,2.5,"Academic Program Supervisor Email: biodiversity@utsc.utoronto.ca Co-op Program Coordinator: C. Dixon Email: coopsuccess.utsc@utoronto.ca This program provides background and training in modern biological approaches to the study of biodiversity, ecology, and evolution. The links between these fields are emphasized, and topics covered range from the structure and function of ecosystems to the evolution of behaviour, morphology, and physiology."
SCMAJ1645C,MAJOR (CO-OPERATIVE) PROGRAM IN ENGLISH (ARTS),5,Major,1,1,,2.5,"For more information, contact eng-ugc.utsc@utoronto.ca Co-op Contact: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in English is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to English upon graduation."
SCMAJ0361C,MAJOR (CO-OPERATIVE) PROGRAM IN ENVIRONMENTAL CHEMISTRY (SCIENCE),13,Major,1,1,,2.5,"For an updated list of Academic Program Supervisors, please visit the Chemistry website. Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Environmental Chemistry is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Environmental Chemistry upon graduation."
SCMAJ1076A,MAJOR (CO-OPERATIVE) PROGRAM IN ENVIRONMENTAL SCIENCE (SCIENCE),13,Major,1,1,,2.5,"Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Environmental Science is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Environmental Science upon graduation. In addition to their academic course requirements, students must successfully complete the additive Arts & Science Co-op Work Term and Course requirements."
SCMAJ1780M,MAJOR (CO-OPERATIVE) PROGRAM IN EVOLUTIONARY ANTHROPOLOGY (SCIENCE),1,Major,1,1,,2.5,"Co-op Email: coopsuccess.utsc@utoronto.ca The Major in Evolutionary Anthropology provides a course structure for those students desiring to expand upon or supplement other areas of academic interest by taking advantage of Anthropology's unique global, chronological, and biological perspective on the human condition. The Major (Co-op) in Evolutionary Anthropology complements and punctuates academic course work with full-time work terms which help students define and refine their career and/or professional school goals."
SCMAJ2156C,MAJOR (CO-OPERATIVE) PROGRAM IN FRENCH (ARTS),10,Major,1,1,,2.5,"For more information, please contact: Academic Program Coordinator: dls-ua@utsc.utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJ2086J,MAJOR (CO-OPERATIVE) PROGRAM IN HEALTH POLICY (ARTS),7,Major,1,1,,2.5,Program Supervisor of Study: E. Caron-Beaudoin and R. Antabe Academic Program Advisor: dhsadvisor.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca
SCMAJ0652C,MAJOR (CO-OPERATIVE) PROGRAM IN HISTORY (ARTS),8,Major,1,1,,2.5,"For more information, please contact: Undergraduate Coordinator: 416-287-7184 Email: hcs.advising.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJ0215C,MAJOR (CO-OPERATIVE) PROGRAM IN HUMAN BIOLOGY (SCIENCE),3,Major,1,1,8.5,2.5,"Academic Program Supervisor Email: human-biology@utsc.utoronto.ca Co-op Program Coordinator Email: coopsuccess.utsc@utoronto.ca The Major in Human Biology provides training and background in general biology with the opportunity to concentrate on courses in upper years that are related to human health. Upper year courses are available in physiology, cell and molecular biology, anatomy, microbiology, pathology, endocrinology, anthropology, psychology and biochemistry. This program is suitable for students with an interest in applied biology in health sciences or in social sciences related to human health."
SCMAJ0506C,MAJOR (CO-OPERATIVE) PROGRAM IN LINGUISTICS (ARTS),10,Major,1,1,,2.5,"For more information, please contact: Academic Program Advisor: dls-ua@utsc.utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJ1165C,MAJOR (CO-OPERATIVE) PROGRAM IN MATHEMATICS (SCIENCE),4,Major,1,1,,2.75,"Academic Program Advisor: S. Calanza susan.calanza@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Mathematics is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Mathematics upon graduation."
SCMAJ1160N,MAJOR (CO-OPERATIVE) PROGRAM IN MENTAL HEALTH STUDIES (SCIENCE),15,Major,1,1,,2.5,"Academic Program Advisor: psychundergrad.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) in Mental Health Studies is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Mental Health upon graduation."
SCMAJ0220C,"MAJOR (CO-OPERATIVE) PROGRAM IN MOLECULAR BIOLOGY, IMMUNOLOGY AND DISEASE (SCIENCE)",3,Major,1,1,8.5,2.5,"Academic Program Supervisor Email: molecular-biology-immunology@utsc.utoronto.ca Co-op Program Coordinator Email: coopsuccess.utsc@utoronto.ca This program provides training and background in general biology with the opportunity to concentrate on courses in upper years that are related to immunology, infection and disease. Upper year courses are available in microbiology, immunology, biochemistry and pathobiology of disease. This program is suitable for students with an interest in molecular biology and disease."
SCMAJ1472C,MAJOR (CO-OPERATIVE) PROGRAM IN NEUROSCIENCE (SCIENCE),15,Major,1,1,,2.5,"Academic Program Advisor: psychundergrad.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major in Neuroscience focuses on both Cellular/Molecular and Systems/Behavioural Neuroscience and requires less research-intensive coursework than the Specialist programs. The Major focuses more on how to be a skilled consumer of neuroscience research, providing a valuable foundation for a variety of career paths."
SCMAJ0231C,MAJOR (CO-OPERATIVE) PROGRAM IN PHILOSOPHY (ARTS),12,Major,1,1,,2.5,"For more information, please contact: Academic Program Advisor: jason.ferreira@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJ1060C,MAJOR (CO-OPERATIVE) PROGRAM IN PLANT BIOLOGY (SCIENCE),3,Major,1,1,,2.5,"Academic Program Supervisor Email: plant-biology@utsc.utoronto.ca Co-op Program Coordinator Email: coopsuccess.utsc@utoronto.ca The Major Program in Plant Biology provides a broad education in all areas of contemporary biology and affords students an opportunity to concentrate on Plant Biology courses in upper years. This program is suitable for students with an interest in biochemistry, biotechnology, cell biology, ecology, evolution, genetics, physiology, and/or development of plants."
SCMAJ2086K,MAJOR (CO-OPERATIVE) PROGRAM IN POPULATION HEALTH (SCIENCE),7,Major,1,1,,2.5,Program Supervisor of Study: E. Caron-Beaudoin and R. Antabe Academic Program Advisor: dhsadvisor.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca
SCMAJ1160C,MAJOR (CO-OPERATIVE) PROGRAM IN PSYCHOLOGY (SCIENCE),15,Major,1,1,,2.5,"Academic Program Advisor: psychundergrad.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca The Major (Co-op) in Psychology is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Psychology upon graduation."
SCMAJPUBPC,MAJOR (CO-OPERATIVE) PROGRAM IN PUBLIC POLICY (ARTS),14,Major,1,1,,2.5,"For more information, please contact: Academic Program Advisor: pol-advisor@utsc.utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJ2289C,MAJOR (CO-OPERATIVE) PROGRAM IN STATISTICS (SCIENCE),4,Major,1,1,,2.5,"Academic Program Advisor: S. Calanza susan.calanza@utoronto.ca Co-op Program Coordinator: C. Dixon coopsuccess.utsc@utoronto.ca The Major (Co-op) Program in Statistics is a Work Integrated Learning (WIL) program that combines academic studies with paid work terms in the public, private, and/or non-profit sectors. The program provides students with the opportunity to develop the academic and professional skills required to pursue employment in these areas, or to continue on to graduate training in an academic field related to Statistics upon graduation."
SCMAJ0571H,MAJOR (CO-OPERATIVE) PROGRAM IN WOMEN'S AND GENDER STUDIES (ARTS),8,Major,1,1,,2.5,"For more information, please contact: Undergraduate Coordinator: 416-287-7184 Email: hcs.advising.utsc@utoronto.ca Co-op Program Coordinator: coopsuccess.utsc@utoronto.ca"
SCMAJNME,MAJOR (JOINT) PROGRAM IN NEW MEDIA STUDIES (ARTS),2,Major,0,0,,,"Program Manager: Email: acm-pm@utsc.utoronto.ca Enrolment Requirements Enrolment in the program is limited and admission is by competitive application. Please refer to the UTSC Registrar’s Office for enrolment timelines. Students must have completed MDSA10H3 and MDSA13H3 and have a minimum cumulative GPA of 2.0 to apply. Students must request admission to the program through ACORN and submit a Supplementary Application Form to the Department that includes an unofficial copy of their academic record, a personal statement of interest, and links (if any) to work published online. Students are strongly advised to meet with the Program Manager during their first year, and before preparing an application for admission. Students may be required to attend an interview with the Program Manager before an admission decision is made. All applicants will be notified through ACORN in early June."
SCMAJ0616,MAJOR PROGRAM IN ART HISTORY AND VISUAL CULTURE (ARTS),2,Major,0,0,7,,ACM Program Manager Email: acm-pm@utsc.utoronto.ca Program Requirements This program requires the completion of 7.0 credits in Art History and Visual Culture (VPH) as follows:
SCMAJ0617,MAJOR PROGRAM IN ARTS AND MEDIA MANAGEMENT (ARTS),2,Major,0,0,,,"The Major program offers students an opportunity to acquire a strong foundation in, and understanding of, the theories and practices associated with the management of creative arts and media enterprises. The program exposes students to the scholarship and skills of this multidisciplinary field through a broad range of courses that bring together creative endeavours and business. While the program can be paired with any other Major at UTSC, it is especially intended to be combined with other programs in the Department of Arts, Culture and Media, including: Art History and Visual Culture; Studio Art; Music and Culture; Theatre and Performance; Media Studies; New Media Studies; or Media, Journalism and Digital Cultures. This Major is for students seeking opportunities and understanding about the always-evolving arts and media environment, where traditional leadership roles are both crucial and constantly challenged, and where community engagement, creative practice, entrepreneurship and leadership are not limited to the private sector but also reach deeply into the non-profit and public sectors. Program Requirements"
SCMAJ1762,MAJOR PROGRAM IN BIOCHEMISTRY (SCIENCE),13,Major,0,0,,,"Supervisor Email: biochemistry-major@utsc.utoronto.ca For an updated list of Program Supervisors, please visit the Chemistry website. The Major program in Biochemistry provides students with the opportunity to explore the chemistry of living systems. In the first two years, students take a suite of core courses in both biology and chemistry. In later years, students merge these disciplines through courses that explore the chemistry of proteins, enzymes and metabolism. This program is intended for students who are interested in biochemistry, but who do not wish to complete the more focused specialist in biological chemistry. The program is also excellent preparation for students wishing to pursue professional schools such as medicine, pharmacy or law."
SCMAJ1030B,MAJOR PROGRAM IN BIOLOGY (SCIENCE),3,Major,0,0,,,"Academic Program Supervisor Email: biology-major@utsc.utoronto.ca Biology is the study of life and this major program in Biology is meant to provide students with a solid basic knowledge of this vast discipline, while also allowing the student to tailor their program in the upper years toward one or more biological sub-disciplines. Many of the world's most important and timely issues (medical science and disease, conservation and biodiversity, food and energy supplies) are issues that require citizens to have a firm understanding of biological principles and practices. The Major program in Biology (Science) cannot be combined with any other Major program offered by the Department of Biological Sciences."
SCMAJ1376,MAJOR PROGRAM IN CHEMISTRY (SCIENCE),13,Major,0,0,,,"For an updated list of Program Supervisors, please visit the Chemistry website. The Major program in Chemistry provides students with an introduction to all major sub-disciplines within chemistry, including analytical, biological, inorganic, organic and physical chemistry. Students will develop both theoretical knowledge and practical lab skills throughout their course work. This program is intended for students who are interested in chemistry, but who do not wish to complete the more focused specialist program. Note: This program cannot be combined with the Major/Major Co-op programs in Biochemistry or the Major program in Environmental Chemistry."
SCMAJCIT,MAJOR PROGRAM IN CITY STUDIES (ARTS),9,Major,0,0,,,Program Requirements This program requires students to complete a total of 7.0 credits as follows: 1. Foundations of City Studies (1.0 credit):
SCMAJ2745,MAJOR PROGRAM IN CLIMATE CHANGE STUDIES (ARTS),13,Major,0,0,,,"Climate change is a profound challenge for society. The Major in Climate Change Studies prepares students to understand and address the social, economic, political, and ecological aspects of climate change by providing them with a strong foundation in the human dimensions of climate change (e.g., policy responses, social justice concerns, and cultural change), as well as an introduction to the physical science basis of climate change (e.g., global ecological systems and the science of climate change). Students complete courses in interdisciplinary environmental studies and environmental sciences, as well as courses in politics and social sciences. Through the selection of elective courses, students will have the opportunity to focus on aspects of the climate change challenge in accordance with their interests and career goals, including scientific, political, social and cultural aspects (e.g., politics, Indigenous studies, policy, law, development studies etc.), and/or physical science aspects of climate change (e.g., climatology, climate change impact assessment etc.). These courses also include many opportunities for experiential learning through problem-solving case studies, team-based projects, and individual research. The Major in Climate Change Studies is an excellent companion to Majors such as Anthropology, Human Geography, Political Science, Public Policy, Sociology, Chemistry, Biochemistry, Environmental Science, Biology, Biodiversity, Ecology and Evolution, Physics and Astrophysics, and Physical Sciences. Program Restrictions"
SCMAJ1688,MAJOR PROGRAM IN COMPUTER SCIENCE (SCIENCE),4,Major,0,0,,,"Supervisor of Studies: R. Pancer (416-287-7679) Email: pancer@utsc.utoronto.ca Program Objectives This program provides basic knowledge of the foundations of computer science: modern computer software and hardware, theoretical aspects of computer science, and relevant areas of mathematics and statistics. This program is intended to be combined with other programs, typically a major program in another discipline."
SCMAJ1150,MAJOR PROGRAM IN CONSERVATION AND BIODIVERSITY (SCIENCE),3,Major,0,0,,,"Academic Program Supervisor: biodiversity@utsc.utoronto.ca This program provides background and training in modern biological approaches to the study of biodiversity, ecology, and evolution. The links between these fields are emphasized, and topics covered range from the structure and function of ecosystems to the evolution of behaviour, morphology, and physiology. Note: This program was formerly known as the Major in Biodiversity, Ecology & Evolution (BSc)."
SCMAJ1620,MAJOR PROGRAM IN CREATIVE WRITING (ARTS),5,Major,0,1,,,"For more information, contact eng-ugc.utsc@utoronto.ca Program email: creative-writing@utsc.utoronto.ca The Major in Creative Writing offers students the opportunity to deepen their development as literary artists, and to gain a comprehensive historical and critical understanding of literary and creative practice. Benefiting from workshop-based courses and feedback from award-winning faculty and visiting writers, as well as from peer review, students will produce original work in a range of genres, encompassing poetry, fiction, non-fiction, screenwriting, and comics. Students will graduate with the confidence and tools they need to continue developing as writers. They will also emerge from this program with the practical knowledge and experience to professionalize their creative skills into fields as diverse as publishing, editing, communications, public relations, marketing, and advertising."
SCMAJ0133,MAJOR PROGRAM IN ECONOMICS FOR MANAGEMENT STUDIES (ARTS),11,Major,0,0,,,Academic Director: A. Mazaheri Email: ecoss@utsc.utoronto.ca This Program is designed to give a coordinated exposure to the subject matter of Economics for Management Studies to students pursuing a four-year degree with more than a single area of concentration. Enrolment Requirements
SCMAJ1645,MAJOR PROGRAM IN ENGLISH (ARTS),5,Major,0,0,,,"For more information, contact eng-ugc.utsc@utoronto.ca Program Requirements 7.5 credits in English are required They should be selected as follows:"
